ArmazÈns Cadastrados
CDA;Armazenador;EndereÁo;MunicÌpio;UF;Tipo;Email;Capacidade (t);Latitude;Longitude;Estoque Inicial;Capacidade de RecepÁ„o
35.0277.0001-4      ;COMPANHIA DE ARMAZENS GERAIS E ENTREPOSTOS DO ACRE;AVENIDA 25 DE AGOSTO, N∫ 5.290 BAIRRO AEROPORTO VELHO  - 69980-000;CRUZEIRO DO SUL;AC;N„o Informado;;3861,0;-7.6573583;-72.6467501;0;10.0
35.0277.0002-2      ;COMPANHIA DE ARMAZENS GERAIS E ENTREPOSTOS DO ACRE;AVENIDA 25 DE AGOSTO, N∫ 5.290 BAIRRO AEROPORTO VELHO  - 69980-000;CRUZEIRO DO SUL;AC;N„o Informado;;3861,0;-7.6573583;-72.6467501;0;30.0
35.0277.0003-0      ;COMPANHIA DE ARMAZENS GERAIS E ENTREPOSTOS DO ACRE;AVENIDA 25 DE AGOSTO, N∫ 5.290 BAIRRO AEROPORTO VELHO  - 69980-000;CRUZEIRO DO SUL;AC;N„o Informado;;900,0;-7.6573583;-72.6467501;0;
35.0277.0004-9      ;COMPANHIA DE ARMAZENS GERAIS E ENTREPOSTOS DO ACRE;AVENIDA 25 DE AGOSTO, N∫ 5.290 BAIRRO AEROPORTO VELHO  - 69980-000;CRUZEIRO DO SUL;AC;N„o Informado;;4036,0;-7.6573583;-72.6467501;0;10.0
35.0277.0005-7      ;COMPANHIA DE ARMAZENS GERAIS E ENTREPOSTOS DO ACRE;AVENIDA 25 DE AGOSTO, N∫ 5.290 BAIRRO AEROPORTO VELHO  - 69980-000;CRUZEIRO DO SUL;AC;N„o Informado;;3564,0;-7.6573583;-72.6467501;0;12.0
35.0277.0006-5      ;COMPANHIA DE ARMAZENS GERAIS E ENTREPOSTOS DO ACRE;AVENIDA 25 DE AGOSTO, N∫ 5.290 BAIRRO AEROPORTO VELHO  - 69980-000;CRUZEIRO DO SUL;AC;N„o Informado;;810,0;-7.6573583;-72.6467501;0;
35.0277.0007-3      ;COMPANHIA DE ARMAZENS GERAIS E ENTREPOSTOS DO ACRE;AVENIDA 25 DE AGOSTO, N∫ 5.290 BAIRRO AEROPORTO VELHO  - 69980-000;CRUZEIRO DO SUL;AC;N„o Informado;;3510,0;-7.6573583;-72.6467501;0;10.0
35.0277.0008-1      ;COMPANHIA DE ARMAZENS GERAIS E ENTREPOSTOS DO ACRE;AVENIDA 25 DE AGOSTO, N∫ 5.290 BAIRRO AEROPORTO VELHO  - 69980-000;CRUZEIRO DO SUL;AC;N„o Informado;;900,0;-7.6573583;-72.6467501;0;
35.0277.0009-0      ;COMPANHIA DE ARMAZENS GERAIS E ENTREPOSTOS DO ACRE;AVENIDA 25 DE AGOSTO, N∫ 5.290 BAIRRO AEROPORTO VELHO  - 69980-000;CRUZEIRO DO SUL;AC;N„o Informado;;1152,0;-7.6573583;-72.6467501;0;
35.0277.0012-0      ;COMPANHIA DE ARMAZENS GERAIS E ENTREPOSTOS DO ACRE;AVENIDA 25 DE AGOSTO, N∫ 5.290 BAIRRO AEROPORTO VELHO  - 69980-000;CRUZEIRO DO SUL;AC;N„o Informado;;1800,0;-7.6573583;-72.6467501;0;10.0
