Armazéns Credenciados e Habilitados
CDA;Armazenador;Endereço;Municí­pio;UF;Tipo;Email;Capacidade (t);Latitude;Longitude;Estoque Inicial;Capacidade de Recepção
35.0287.0002-6;COMPANHIA NACIONAL DE ABASTECIMENTO;TRAVESSA  ICÓ 180 ESTAÇÃO EXPERIMENTAL - 69.918-204;Rio Branco;AC;Convencional;AC.UA-RIOBRANCO@CONAB.GOV.BR;890;-9.96491;-67.83002;0;5
36.0287.0002-4;COMPANHIA NACIONAL DE ABASTECIMENTO ;Rua Tobias Barreto SN Bebedouro - 57.017-690;Maceió;AL;Convencional;;2800;-9.624593;-35.754449;0;9
36.0287.0016-4;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA MANOEL ORÍGENES DE OLIVEIRA - PALMEIRA DOS ÍNDIOS/AL 105 PARAÍSO - 57.602-050;Palmeira dos Índios;AL;Convencional;AL.SUREG@CONAB.GOV.BR;3200;-9.409169;-36.626944;0;12
37.0287.0022-7;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. MIN. MARIO ANDREAZZA 2196 DIST. INDUSTRIAL - 69.075-830;Manaus;AM;Convencional;;2700;-3.109954;-59.966265;0;60
37.0287.0023-5;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. MIN. MARIO ANDREAZZA 2196 DIST. INDUSTRIAL - 69.075-830;Manaus;AM;Convencional;;2100;-3.109954;-59.966265;0;60
39.0287.0002-9;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. BA 148 S/N GALPÃO BAIRRO UNIVERSITÁRIO - 44.875-700;Irecê;BA;Convencional;BA.UA-IRECE@CONAB.GOV.BR;2670;-11.328675;-41.865421;0;9
39.0287.0003-7;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. BA 148 S/N GALPÃO BAIRRO UNIVERSITÁRIO - 44.875-700;Irecê;BA;Convencional;BA.UA-IRECE@CONAB.GOV.BR;2670;-11.328675;-41.865421;0;9
39.0287.0004-5;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. BA 148 S/N GALPÃO BAIRRO UNIVERSITÁRIO - 44.875-700;Irecê;BA;Convencional;BA.UA-IRECE@CONAB.GOV.BR;2670;-11.328675;-41.865421;0;9
39.0287.0005-3;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. BA 148 S/N GALPÃO BAIRRO UNIVERSITÁRIO - 44.875-700;Irecê;BA;Convencional;BA.UA-IRECE@CONAB.GOV.BR;2670;-11.328675;-41.865421;0;9
39.0287.0014-2;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. BA 148 S/N GALPÃO BAIRRO UNIVERSITÁRIO - 44.875-700;Irecê;BA;Convencional;BA.UA-IRECE@CONAB.GOV.BR;6090;-11.328675;-41.865421;0;9
39.0287.0015-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. BA 148 S/N GALPÃO BAIRRO UNIVERSITÁRIO - 44.875-700;Irecê;BA;Convencional;BA.UA-IRECE@CONAB.GOV.BR;6320;-11.328675;-41.865421;0;9
39.0287.0032-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 242 KM 90 - LOTE 101 A 106 S/N loteamento cidade de deus - 46.880-000;Itaberaba;BA;Convencional;BA.UA-ITABERABA@CONAB.GOV.BR;2030;-12.50933;-40.31043;0;6
39.0287.0028-2;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DA MIRANDELA-KM 05 S/N BA 410 - 48.400-000;Ribeira do Pombal;BA;Convencional;BA.UA-RIBEIRAPOMBAL@CONAB.GOV.BR;3540;-10.825376;-38.547588;0;7
45.0287.0009-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. SARGENTO HERMINIO, 1071 S/N CENTRO - 63.700-000;Crateús;CE;Convencional;CE.UA-CRATEUS@CONAB.GOV.BR;3300;-5.184696;-40.661787;0;15
45.0287.0156-9;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. CE 282 - DEP. TARCISO MONTEIRO S/N NÃO INFORMADO - 63.430-000;Icó;CE;Convencional;CE.UA-ICO@CONAB.GOV.BR;3000;-6.40425;-38.86194;0;15
45.0287.0031-7;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA CARLOS ROBERTO COSTA 2042 ESPLANADA II - 63.505-190;Iguatu;CE;Convencional;CE.UA-IGUATU@CONAB.GOV.BR;3500;-6.377199;-39.307481;0;15
45.0287.0038-4;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. PADRE CICERO, KM 04 S/Nº  S/N NÃO INFORMADO - 63.010-020;Juazeiro do Norte;CE;Convencional;CE.UA-JUAZEIRODONORTE@CONAB.GOV.BR;4900;-7.22602;-39.34347;0;15
45.0287.0109-7;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. CE 01 - KM 5 - DISTRITO INDUSTRIAL S/N NÃO INFORMADO - 61.900-000;Maracanaú;CE;Convencional;CE.UA-MARACANAU@CONAB.GOV.BR;6300;-3.84305;-38.60161;0;18
45.0287.0129-1;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. CE 01 - KM 5 - DISTRITO INDUSTRIAL S/N NÃO INFORMADO - 61.900-000;Maracanaú;CE;Convencional;CE.UA-MARACANAU@CONAB.GOV.BR;8800;-3.84305;-38.60161;0;15
