Base Personalizada
CDA;Armazenador;Endereço;Município;UF;Tipo;Email;Capacidade (t);Latitude;Longitude;Estoque Inicial;Capacidade de Recepção
56.F764.0007-3      ;INPASA AGROINDUSTRIAL S/A;ROD. BR 163 KM 817 ARMAZÉM  04 ZONA RURAL - 78559899;SINOP;MT        ;GRANELEIRO                                        ;fabio.baldus@inpasa.com.br;3438.5;-12.025;-55.50997;0;3438.5
56.F785.0002-4      ;CHARLES BOCOLLI E MARCELO BOCOLLI LTDA;ROD MT 242 KM 75  ZONA RURAL - 78888000;NOVA UBIRATÃ;MT        ;GRANELEIRO                                        ;ricardo@bocolli.com.br;2600.0;-13.03854;-55.29785;0;2600.0
55.F764.0001-6      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 243 AREA RURAL DE DOURADOS ZONA RURAL - 79849899;DOURADOS;MS        ;GRANELEIRO                                        ;andre.teixeira@inpasa.com.br;2187.0;-22.36885;-54.80108;0;2187.0
55.F764.0002-4      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 243 AREA RURAL DE DOURADOS ZONA RURAL - 79849899;DOURADOS;MS        ;GRANELEIRO                                        ;andre.teixeira@inpasa.com.br;2187.0;-22.36885;-54.80108;0;2187.0
55.F764.0003-2      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 243 AREA RURAL DE DOURADOS ZONA RURAL - 79849899;DOURADOS;MS        ;GRANELEIRO                                        ;andre.teixeira@inpasa.com.br;2187.0;-22.36885;-54.80108;0;2187.0
55.F764.0004-0      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 243 AREA RURAL DE DOURADOS ZONA RURAL - 79849899;DOURADOS;MS        ;GRANELEIRO                                        ;andre.teixeira@inpasa.com.br;2187.0;-22.36885;-54.80108;0;2187.0
55.6751.0001-9      ;NEOMILLE S.A.;RODOVIA MS 157 KM 28  ZONA RURAL - 79150000;MARACAJU;MS        ;GRANELEIRO                                        ;silas.gaia@cerradinho.com.br;2149.0;-21.77366;-54.95869;0;2149.0
56.F764.0001-4      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 603  ARMAZEM  Nº 03 DISTRITO INDUSTRIAL - 78450000;NOVA MUTUM;MT        ;GRANELEIRO                                        ;fiscal@inpasa.com.br;2080.0;-13.77923;-56.0531;0;2080.0
56.F764.0002-2      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 603  ARMAZEM  Nº 03 DISTRITO INDUSTRIAL - 78450000;NOVA MUTUM;MT        ;GRANELEIRO                                        ;fiscal@inpasa.com.br;2080.0;-13.77923;-56.0531;0;2080.0
56.F764.0003-0      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 603  ARMAZEM  Nº 03 DISTRITO INDUSTRIAL - 78450000;NOVA MUTUM;MT        ;GRANELEIRO                                        ;fiscal@inpasa.com.br;2080.0;-13.77923;-56.0531;0;2080.0
56.F764.0004-9      ;INPASA AGROINDUSTRIAL S/A;ROD. BR 163 KM 817 ARMAZÉM  04 ZONA RURAL - 78559899;SINOP;MT        ;GRANELEIRO                                        ;fabio.baldus@inpasa.com.br;2047.0;-12.02344;-55.51224;0;2047.0
56.F764.0005-7      ;INPASA AGROINDUSTRIAL S/A;ROD. BR 163 KM 817 ARMAZÉM  04 ZONA RURAL - 78559899;SINOP;MT        ;GRANELEIRO                                        ;fabio.baldus@inpasa.com.br;2047.0;-12.025;-55.50997;0;2047.0
56.F764.0006-5      ;INPASA AGROINDUSTRIAL S/A;ROD. BR 163 KM 817 ARMAZÉM  04 ZONA RURAL - 78559899;SINOP;MT        ;GRANELEIRO                                        ;fabio.baldus@inpasa.com.br;2047.0;-12.02344;-55.51224;0;2047.0
56.A873.0018-1      ;COFCO INTERNATIONAL BRASIL S.A;RUA B  PARQUE INDUSTRIAL INTERMODAL - 78750899;RONDONÓPOLIS;MT        ;GRANELEIRO                                        ;luiznobre@cofcointernational.com;2000.0;-16.69862;-54.66727;0;2000.0
56.5104.0067-7      ;BUNGE ALIMENTOS S/A;ROD BR 163 KM 782.5 GLEBA ATLANTICA ZONA RURAL - 78890000;SORRISO;MT        ;GRANELEIRO                                        ;sorrisofabrica.silo@bunge.com;1986.0;-12.32408;-55.58339;0;1986.0
55.8684.0004-9      ;SEARA ALIMENTOS LTDA;ROD. BR 163 DOURADOS CAMPO GRANDE, KM 07  ZONA RURAL - 79804970;DOURADOS;MS        ;BATERIA DE SILOS                                  ;;1627.0;-22.22069;-54.71833;0;1627.0
55.F764.0005-9      ;INPASA AGROINDUSTRIAL S/A;RODOVIA BR 163 KM 243 AREA RURAL DE DOURADOS ZONA RURAL - 79849899;DOURADOS;MS        ;CHAPÉU CHINES                                     ;andre.teixeira@inpasa.com.br;1618.0;-22.36885;-54.80108;0;1618.0
56.D757.0002-9      ;AGROPECUÁRIA MAGGI LTDA;ROD BR 364 ENTRONCAMENTO COM ROD MT 170 FAZENDA ITAMARATI ZONA RURAL - 78360000;CAMPO NOVO DO PARECIS;MT        ;BATERIA DE SILOS                                  ;aguinaldo.oliveira@amaggi.com.br;1538.0;-14.317222;-57.956111;0;1538.0
56.3566.0022-5      ;LOUIS DREYFUS COMPANY BRASIL S.A.;RODOVIA MT 430 KM 06 6 KM, SAÍDA DE CONFRESA P/ DIST. STºDO  FONTOURA - SÃO JOSÉ DO XINGÚ ZONA RURAL - 78652000;CONFRESA;MT        ;GRANELEIRO                                        ;felipe.texeira@ldc.com;1532.0;-10.6142;-51.6104;0;1532.0
56.9518.0042-1      ;AGRICOLA ALVORADA S.A.;ROD MT 437, KM 117,5  ZONA RURAL - 78663000;SÃO JOSÉ DO XINGU;MT        ;GRANELEIRO                                        ;ademirmucke@agricolaalvorada.com.br;1495.0;-10.622;-52.4929;0;1495.0
56.9518.0040-5      ;AGRICOLA ALVORADA S.A.;AV INDUSTRIAL II LOTE RURAL 02 ZONA RURAL - 78645000;VILA RICA;MT        ;GRANELEIRO                                        ;fiscalagricola@agricolaalvorada.com.br;1468.0;-10.0366;-51.058;0;1468.0
48.G490.0001-0      ;LUCRI+ ARMAZÉM GERAL LTDA;AVENIDA AMAZONAS  ROTATÓRIA DA GO 320 SETOR DERGO - 75600000;GOIATUBA;GO        ;GRANELEIRO                                        ;lucriarmazensgerais@gmail.com;1437.0;-18.00108;-49.35839;0;1437.0
48.3566.0027-5      ;LOUIS DREYFUS COMPANY BRASIL S.A.;RODOVIA BR 060 KM 507  PARQUE INDUSTRIAL - 75801701;JATAÍ;GO        ;GRANELEIRO                                        ;;1418.0;-17.90861;-51.68236;0;1418.0
56.D858.0003-4      ;MARVALDI GORGEN;ESTRADA SAIDA PARA FAZENDA RONCADOR FAZENDA IRMÃOS GURGEN ZONA RURAL - 78643000;QUERÊNCIA;MT        ;BATERIA DE SILOS                                  ;fran.gorgen@gmail.com;1324.0;-12.50533;-52.33191;0;1324.0
56.F866.0002-4      ;CELSO CARLOS ROQUETTO;FAZENDA EXTRA - ESTRADA QUERÊNCIA/MATA LINDA KM 50  ZONA RURAL - 78643000;QUERÊNCIA;MT        ;GRANELEIRO                                        ;gerencia.adm@cr.agr.br;1299.0;-12.53215;-52.53695;0;1299.0
56.8643.0049-8      ;SIPAL INDUSTRIA E COMERCIO LTDA;AV. IDEMAR RIEDI SETOR INDUSTRIAL INDUSTRIAL - 78890000;SORRISO;MT        ;GRANELEIRO                                        ;leandro.zanette@sipal.com.br;1227.0;-12.556616;-55.715366;0;1227.0
56.F946.0001-1      ;USIMAT DESTILARIA DE ALCOOL LTDA;DISTRITO ALTO JURUENA ROD MT 388 ZONA RURAL - 78319000;CAMPOS DE JÚLIO;MT        ;GRANELEIRO                                        ;samy.lim@usimat.com.br;1208.0;-14.2667;-59.2371;0;1208.0
48.0491.0050-0      ;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;ROD BR-060, KM 389 COMIGO INDUSTRIAL CENTRO SETOR INDUSTRIAL - 75905904;RIO VERDE;GO        ;GRANELEIRO                                        ;joaocasemiro@comigo.com.br;1204.0;-17.819028;-50.958611;0;1204.0
56.0461.0001-1      ;COCAMAR COOPERATIVA AGROINDUSTRIAL;RODOVIA MT 240 KM 32  ZONA RURAL - 78635000;ÁGUA BOA;MT        ;GRANELEIRO                                        ;vera@analysispr.com.br;1204.0;-14.054;-52.3863;0;1204.0
55.0430.0004-2      ;COAMO AGROINDUSTRIAL COOPERATIVA;ROD. MS 379, S/Nº, KM 02 SAIDA LAGUNA CARAPÃ PARA DOURADOS  - 79920000;LAGUNA CARAPÃ;MS        ;BATERIA DE SILOS                                  ;coamo@coamo.com.br;1203.0;-22.541554;-55.141976;0;1203.0
56.9125.0010-2      ;CARAMURU ALIMENTOS S/A;RUA AYRTON SENNA, Nº 628 DISTRITO INDUSTRIAL NOVA PRATA - 78890000;SORRISO;MT        ;GRANELEIRO                                        ;anderson.lopes@caramuru.com;1202.0;-12.5736;-55.7195;0;1202.0
56.D733.0007-4      ;ABJ COMÉRCIO AGRICOLA LTDA;ROD BR 364 KM 310  ZONA RURAL - 78820000;JACIARA;MT        ;GRANELEIRO                                        ; abjvertente@bomjesus.com;1200.0;-15.90384;-55.32554;0;1200.0
55.A456.0002-2      ;CAMPANÁRIO ARMAZÉNS GERAIS LTDA.;ROD. CAARAPÓ-AMAMBAI, KM 32  FAZ. CAMPANÁRIO  - 79920000;LAGUNA CARAPÃ;MS        ;BATERIA DE SILOS                                  ;balanca@fazendacampanario.com.br;1197.0;-22.79719;-55.04866;0;1197.0
56.G029.0003-1      ;ESPACOGRAOS SERVIÇOS E ARMAZENAMENTO S/A;ROD MT 430 KM 12 SALA 1 B ZONA RURAL - 78652000;CONFRESA;MT        ;BATERIA DE SILOS                                  ;alexandre.mundim@grupospasso.com.br;1190.0;-10.5969;-51.6961;0;1190.0
55.0430.0043-3      ;COAMO AGROINDUSTRIAL COOPERATIVA;RODOVIA BR-163, KM 247  PARQUE DAS NAÇÕES - 79804970;DOURADOS;MS        ;BATERIA DE SILOS                                  ;registrosregulatorios@coamo.com.br;1184.0;-22.3352;-54.81926;0;1184.0
56.9518.0035-9      ;AGRICOLA ALVORADA S.A.;ROD MT 430 KM 12 A 8 KM DA CIDADE CONFREZA ZONA RURAL - 78652000;CONFRESA;MT        ;GRANELEIRO                                        ;orcino.gamarra@agricolaalvorada.com.br;1168.0;-10.6494;-51.6708;0;1168.0
56.9518.0043-0      ;AGRICOLA ALVORADA S.A.;BR 364 KM 64 ALTO GARÇAS A RONDONÓPOLIS  ZONA RURAL - 78770000;ALTO GARÇAS;MT        ;GRANELEIRO                                        ;antonio.mattos@agricolaalvorada.com.br;1165.0;-16.9408;-53.5764;0;1165.0
56.G453.0001-0      ;AMERICA RURAL ARMAZENS GERAIS LTDA;EST R-4 LOTE RURAL 180-B  ZONA RURAL - 78643000;QUERÊNCIA;MT        ;GRANELEIRO                                        ;;1159.0;-12.6111;-52.1504;0;1159.0
48.0491.0061-5      ;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;ROD BR-060, KM 389 COMIGO INDUSTRIAL CENTRO SETOR INDUSTRIAL - 75905904;RIO VERDE;GO        ;GRANELEIRO                                        ;joaocasemiro@comigo.com.br;1157.0;-17.823459;-50.962704;0;1157.0
56.E169.0008-6      ;BOM FUTURO AGRÍCOLA LTDA;RODOVIA BR 364 KM 1118 ARMAZÉM ÁGUA CLARA - 78365000;SAPEZAL;MT        ;GRANELEIRO                                        ;adilson.souza@bomfuturo.com.br;1152.0;-13.534294;-58.797676;0;1152.0
56.5104.0090-1      ;BUNGE ALIMENTOS S/A;RODOVIA BR 163 LOTE 1A PROJETO DE COLONIZAÇÃO MUTUM 1 ETAPA - 78450000;NOVA MUTUM;MT        ;GRANELEIRO                                        ;leandro.ronczcovski@bunge.com;1150.0;-13.73663;-56.05212;0;1150.0
56.B304.0002-2      ;BRF S.A.;AVENIDA DAS INDUSTRIAS ALA 2 DISGTRITO INDUSTRIAL SENADOR ATTILIO FONTANA - 78455000;LUCAS DO RIO VERDE;MT        ;BATERIA DE SILOS                                  ;gilberto.santos@brf_br.com;1121.0;-13.00803;-55.93915;0;1121.0
48.9125.0004-7      ;CARAMURU ALIMENTOS S/A;AVE CRISTIANO JOSE DE SOUZA QD 01 BLOCO B S/N SETOR JOSE MACHADO SETOR JOSE MACHADO  - 75780000;IPAMERI;GO        ;GRANELEIRO                                        ;ipameri@caramuru.com;1119.0;-17.7457;-48.175;0;1119.0
48.0491.0066-6      ;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;RODOVIA GO 174   ZONA RURAL - 76208899;IPORÁ;GO        ;GRANELEIRO                                        ;edimarcardoso@comigo.com.br;1104.0;-16.47267;-51.1292;0;1104.0
56.0000.1659-0      ;ELOI VITORIO MARCHETT;RODOVIA BR 163  KM 585 A DIREITA MAIS 59 KM - FAZENDA LEYTON ZONA RURAL - 78450000;NOVA MUTUM;MT        ;GRANELEIRO                                        ;jorge@sementescarolina.com.br;1100.0;-13.9613;-55.6578;0;1100.0
56.F960.0001-1      ;COOPERATIVA AGRICOLA DE PRODUTORES DE CANA DE CAMPO NOVO DO PARECIS LTDA-COPRODIA;RODOA BR 361 KM864 ZONA RURAL ZONA RURAL - 78360000;CAMPO NOVO DO PARECIS;MT        ;GRANELEIRO                                        ;diretoria@cooprodia.com.br;1086.0;-13.7864;-57.8441;0;1086.0
56.G029.0005-8      ;ESPACOGRAOS SERVIÇOS E ARMAZENAMENTO S/A;A ANEL VIARIO CONRADO SALES BRITO SALA 1B ZONA RURAL - 78750899;RONDONÓPOLIS;MT        ;GRANELEIRO                                        ;adriano.inacio@espacograos.com.br;1063.0;-16.4129;-54.6869;0;1063.0
56.E169.0012-4      ;BOM FUTURO AGRICOLA LTDA;RODOVIA BR 364 KM 285 + 33 KM A ESQUERDA FAZENDA COLORADO  ARMAZEM FICA 33 KM DA BR ZONA RURAL - 78400000;DIAMANTINO;MT        ;GRANELEIRO                                        ;adilson.souza@bomfuturo.com.br;1059.0;-13.9519;-57.10526;0;1059.0
56.3407.0009-8      ;CAROLINA ARMAZENS GERAIS LTDA;ROD MT 130 KM 74 - VILA CAROLINA VILA CAROLINA ZONA RURAL - 78850000;PRIMAVERA DO LESTE;MT        ;GRANELEIRO                                        ;schiavo@sementescarolina.com.br;1056.0;-14.966954;-54.058899;0;1056.0
56.8643.0032-3      ;SIPAL INDUSTRIA E COMERCIO LTDA;AVENIDA IDEMAR RIEDI SALA B INDUSTRIAL 1 ETAPA - 78890000;SORRISO;MT        ;CHAPÉU CHINES                                     ;;1051.0;-12.5397395;-55.7066591;0;1051.0
56.E169.0055-8      ;BOM FUTURO AGRÍCOLA LTDA;MT 322, KM 01- ENTROCAMENTO COM A BR 163 AO LADO DO POSTO TREVÃO ZONA RURAL - 78525000;MATUPÁ;MT        ;GRANELEIRO                                        ;fiscal@bomfuturo.com.br;1038.0;-10.1905;-54.94323;0;1038.0
